Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Latvia;;;;;;;;Provided extended data to the ESPN Registry;LVA;2010
Lithuania;13;26.3;12.1;20.1;44.9;27.7;24.9;Provided extended data to the ESPN Registry;LTU;2010
Malta;4;62.4;49.3;49.4;84.7;60.8;64;Provided extended data to the ESPN Registry;MLT;2010
Montenegro;;;;;;;;Intend to contribute data in the near future;MNE;2010
Norway;36;39.1;9.8;60.4;47.6;44.6;33.4;Provided extended data to the ESPN Registry;NOR;2010
Poland;234;40.6;21.2;40.4;59.7;46.9;31.3;Provided extended data to the ESPN Registry;POL;2010
Portugal;75;46.5;27.2;43.3;68.2;58.1;34.3;Provided extended data to the ESPN Registry;PRT;2010
Republic of Serbia;33;29.9;11.5;23.5;53.6;10.2;11.4;Provided extended data to the ESPN Registry;SRB;2010
Romania;35;10.7;3.7;9.4;18.9;13.5;10.4;Provided extended data to the ESPN Registry;ROU;2010
Russia;255;12;4.5;10.2;22.7;30;29.9;Provided extended data to the ESPN Registry;RUS;2010
Slovakia;22;26.5;3.5;23.1;52.2;30.5;22.2;Provided extended data to the ESPN Registry;SVK;2010
Slovenia;18;62.3;28.7;22;138.8;94.1;28.5;Provided extended data to the ESPN Registry;SVN;2010
Spain;280;40.1;18.6;38.1;66.7;49.1;30.7;Provided extended data to the ESPN Registry;ESP;2010
Sweden;83;53.3;37.8;47.1;77.2;63.8;42.2;Provided data via ERA-EDTA Registry;SWE;2010
Switzerland;50;42.2;12.9;49.7;62.3;44.3;39.9;Provided extended data to the ESPN Registry;CHE;2010
the Netherlands;136;46.7;27.1;42.2;69.6;59.1;33.8;Provided extended data to the ESPN Registry;NLD;2010
Turkey;605;32.1;17.5;24.3;53.1;35.4;28.5;Provided limited data to the ESPN Registry;TUR;2010
Ukraine;27;4.2;0.8;1.5;10.4;3.9;4.4;Provided limited data to the ESPN Registry;UKR;2010
United Kingdom;608;55.9;27.2;53.1;89.7;65.8;45.6;Provided extended data to the ESPN Registry;GBR;2010
Bosnia and Herz.;;;;;;;;Intend to contribute data in the near future;BIH;2010
Luxemburg;;;;;;;;Provided data via ERA-EDTA Registry;LUX;2010
Albania;3;5;6;0;8.4;6.4;3.5;Provided extended data to the ESPN Registry;ALB;2011
Austria;52;42.3;35.6;24.6;65.1;57.1;26.7;Provided extended data to the ESPN Registry;AUT;2011
Belarus;32;22.5;15.2;11.3;42;17.8;27.5;Provided extended data to the ESPN Registry;BLR;2011
Belgium;86;46.1;37.3;16.4;85;48.3;43.9;Provided extended data to the ESPN Registry;BEL;2011
Bosnia and Herz.;10;16.5;6.2;18;22.3;16.1;16.8;Provided data via ERA-EDTA Registry;BIH;2011
Bulgaria;10;10.2;8.7;0;22.3;17.9;2.1;Provided extended data to the ESPN Registry;BGR;2011
Croatia;20;30.3;23.3;24.3;41.7;32.5;28;Provided extended data to the ESPN Registry;HRV;2011
Czech;44;28.7;39;8.2;37.6;28;29.5;Provided extended data to the ESPN Registry;CZE;2011
Denmark;45;44.9;27.6;24.1;81.3;62.3;26.6;Provided extended data to the ESPN Registry;DNK;2011
Estonia;2;9.7;25.7;0;0;9.4;10;Provided extended data to the ESPN Registry;EST;2011
Finland;75;84.4;79.4;54.9;118.7;88.1;80.6;Provided extended data to the ESPN Registry;FIN;2011
France;417;35;36.1;14.4;54.7;41.6;28;Provided extended data to the ESPN Registry;FRA;2011
FYR of Macedonia;8;22.4;8.7;17.5;39.4;27.2;17.4;Provided extended data to the ESPN Registry;MKD;2011
Germany;192;17.6;27.7;12.1;26.6;27.7;16.4;Provided limited data to the ESPN Registry;DEU;2011
Greece;51;31.4;26.2;22.5;46.2;33.4;27.9;Provided extended data to the ESPN Registry;GRC;2011
Hungary;42;29;27.3;14.5;45;33.6;24.1;Provided extended data to the ESPN Registry;HUN;2011
Iceland;4;60.2;42.5;47;92.5;58.9;61.5;Provided extended data to the ESPN Registry;ISL;2011
Italy;259;30.4;31;16.5;43.8;36.5;23.9;Provided extended data to the ESPN Registry;ITA;2011
Lithuania;10;22.2;13.3;14.7;36.5;21.6;22.8;Provided extended data to the ESPN Registry;LTU;2011
Moldova;4;6.9;0;5.4;14.8;6.7;7.1;Provided extended data to the ESPN Registry;MDA;2011
Malta;4;64.6;50.4;51.4;88.4;62.8;66.4;Provided extended data to the ESPN Registry;MLT;2011
Norway;41;44.4;54.9;30.1;47.9;50.8;37.8;Provided extended data to the ESPN Registry;NOR;2011
